,full_pathname,filename,recanvo_id,function,mean_valence,mean_arousal,duration,mean_pitch,min_pitch,max_pitch,stdev_pitch,mean_intensity,spectral_cog,spectral_sd,amp_rms,sd_intensity
177,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p02/p02 delighted survey/200123_1311_00-04-41.15--00-04-41.95.wav,200123_1311_00-04-41.15--00-04-41.95.wav,p02,delighted,2.5462962962963,1.8240740740740702,0.7909977324263039,230.27559714159997,192.05492550722582,286.2847673371394,20.036827741517286,71.85904422896256,262.64727217212175,163.722966718534,0.07447114055938214,7.657496128855107
178,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p02/p02 delighted survey/200202_1112_00-03-51.56--00-03-53.01.wav,200202_1112_00-03-51.56--00-03-53.01.wav,p02,delighted,3.0,2.99074074074074,1.4490022675736962,234.47324781636618,77.75770384196875,379.9012955074764,67.7160732602226,78.3387330847346,472.8787705021801,211.88277168202717,0.16013519184204872,7.440293362002623
179,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 dysregulated survey/200411_1548_00-49-50.32--00-49-51.43.wav,200411_1548_00-49-50.32--00-49-51.43.wav,p03,dysregulated,2.5,2.37037037037037,1.114013605442177,343.2831221143302,291.9731125242496,376.8781511875524,16.08285535395547,70.62204862775238,382.59629113607406,170.22721612374193,0.06554397504669217,7.378786908700879
180,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 dysregulated survey/210131_1041_00-05-11.55--00-05-13.52.wav,210131_1041_00-05-11.55--00-05-13.52.wav,p03,dysregulated,2.5925925925925903,2.7037037037037,1.97,306.61638579295993,113.50100149011278,391.60160601969636,49.4905937530159,76.19931598707237,582.7689272922922,298.1038937044599,0.12626874100943186,5.972415591349657
181,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 dysregulated survey/200411_1548_00-55-52.8--00-55-54.68.wav,200411_1548_00-55-52.8--00-55-54.68.wav,p03,dysregulated,2.56481481481481,2.33333333333333,1.876984126984127,339.74616687425515,289.0982333970467,364.9727689570416,19.369249300515314,67.95961114791805,365.1524821351507,161.61234034902841,0.048810754575000365,7.025027312761577
182,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 dysregulated survey/200411_1548_00-55-46.09--00-55-47.43.wav,200411_1548_00-55-46.09--00-55-47.43.wav,p03,dysregulated,2.43518518518519,2.35185185185185,1.3429931972789115,332.18273730168136,257.42971330838805,358.33272084286773,25.562376458851343,68.84184291210138,394.3683070230328,207.8337950759423,0.05341035735292318,6.144994953352163
183,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 dysregulated survey/200411_1548_00-49-40.44--00-49-42.35.wav,200411_1548_00-49-40.44--00-49-42.35.wav,p03,dysregulated,2.64814814814815,2.36111111111111,1.9049886621315193,338.35759351707964,157.8041075596684,371.5731567949889,30.691210687183414,72.68872532687922,372.1047793840833,145.0650100609664,0.08407349274150953,8.603374650165827
184,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 dysregulated survey/200411_1548_00-43-09.83--00-43-10.98.wav,200411_1548_00-43-09.83--00-43-10.98.wav,p03,dysregulated,2.42592592592593,2.27777777777778,1.1550113378684808,315.21055383218845,121.84866496340749,347.5358917612235,43.51003832175274,62.029009343555195,537.9603228207563,387.6129285309055,0.024343581563062735,4.207892797515853
185,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 dysregulated survey/200411_1548_00-10-52.56--00-10-55.15.wav,200411_1548_00-10-52.56--00-10-55.15.wav,p03,dysregulated,2.86111111111111,3.08333333333333,2.585986394557823,331.11664182106773,291.7990123543253,369.6146235939862,21.58428905412872,80.54272443383076,410.0004583991015,255.8645051533808,0.20880751771778477,7.945099092977908
186,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 dysregulated survey/210131_1041_00-01-42.41--00-01-43.62.wav,210131_1041_00-01-42.41--00-01-43.62.wav,p03,dysregulated,2.9537037037037,2.14814814814815,1.2080045351473923,282.73679795153606,236.33220259633507,330.1328041233269,24.12973869466075,76.07891771611581,392.38144285012123,196.08224703877468,0.12234519587551115,8.39202379350391
187,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 dysregulated survey/200411_1548_00-10-47.35--00-10-52.11.wav,200411_1548_00-10-47.35--00-10-52.11.wav,p03,dysregulated,2.37962962962963,3.25925925925926,4.76,329.9220579129999,207.6025177010126,414.6799881949293,36.316960259262004,77.88332931861586,594.9813419419426,334.7308889820154,0.15513124699513656,4.8193718813727475
188,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 dysregulated survey/210131_1041_00-01-14.51--00-01-15.57.wav,210131_1041_00-01-14.51--00-01-15.57.wav,p03,dysregulated,3.0925925925925903,2.41666666666667,1.0560090702947846,294.8886701287865,243.46891084203216,331.6030153721802,30.614043902824616,79.9677681328621,344.16147524673903,123.89227458857711,0.19026960198228252,10.586555710212913
189,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 request survey/200410_1500_00-01-32.04--00-01-33.22.wav,200410_1500_00-01-32.04--00-01-33.22.wav,p03,request,2.85185185185185,2.7129629629629597,1.1829931972789116,337.7314568942762,255.34597593908356,392.8759264960963,33.55479958738627,80.63959050599037,365.76348559798726,151.1370491498013,0.20643506811088724,9.89220303576039
190,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 request survey/200122_1453_00-07-27.38--00-07-28.1.wav,200122_1453_00-07-27.38--00-07-28.1.wav,p03,request,2.88888888888889,3.58333333333333,0.7240136054421769,380.3111202634197,214.73238168341567,471.16434127055993,65.50851836499643,81.83563307400459,834.9129729308514,488.2796606439632,0.2295628343090842,9.35500026038175
191,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 request survey/200410_1500_00-03-29.63--00-03-31.53.wav,200410_1500_00-03-29.63--00-03-31.53.wav,p03,request,3.06481481481481,3.12962962962963,1.8919954648526076,280.580858687754,103.41839260160177,323.21067616015046,55.89159353920719,79.24092348067609,529.7706555816901,297.138615146054,0.17876339457178825,8.451076723584901
192,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 request survey/200411_1548_00-11-48.38--00-11-49.47.wav,200411_1548_00-11-48.38--00-11-49.47.wav,p03,request,3.2870370370370403,2.9537037037037,1.0950113378684807,296.61027343882694,245.38203436354004,315.47092730210727,14.797703776313007,79.33609631956156,557.2176473042668,352.3214741769494,0.17706490417868054,14.129498690378488
193,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 request survey/200122_1511_00-23-11.77--00-23-13.22.wav,200122_1511_00-23-11.77--00-23-13.22.wav,p03,request,2.9629629629629597,3.43518518518519,1.4449886621315193,336.4789176500301,256.3098128143012,467.2184444640438,39.25995829083741,82.87893894323291,660.1791934711915,149.6322608494571,0.26930462443963243,8.408941276234156
194,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 request survey/200122_1453_00-06-21.03--00-06-22.4.wav,200122_1453_00-06-21.03--00-06-22.4.wav,p03,request,3.14814814814815,2.7037037037037,1.3639909297052155,313.9543659944809,264.59593666641535,451.805763683274,48.382346324617224,78.57236009171561,436.226166363275,295.56698139848436,0.1640932571861493,5.873379337974834
195,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 request survey/200410_1500_00-04-10.22--00-04-13.02.wav,200410_1500_00-04-10.22--00-04-13.02.wav,p03,request,2.62962962962963,2.91666666666667,2.7990022675736963,327.029898099656,247.1388551766449,360.5755430935203,30.46877626081753,78.04542562569848,541.0940421301162,297.01189960410835,0.1568732167731296,7.447544480937775
196,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p03/p03 request survey/200106_1614_00-42-33.43--00-42-34.28.wav,200106_1614_00-42-33.43--00-42-34.28.wav,p03,request,3.01851851851852,2.77777777777778,0.85,318.59075965952235,267.0297202305902,367.43964270156823,31.368110230077924,81.14202288823827,385.5116913845022,199.83998620131615,0.2160451933537127,14.83135689514672
