,full_pathname,filename,recanvo_id,function,mean_valence,mean_arousal,duration,mean_pitch,pitch_range,min_pitch,max_pitch,stdev_pitch,mean_intensity,intensity_range,min_intensity,max_intensity,formant1_mean,formant2_mean,formant3_mean,formant1_stdev,formant2_stdev,formant3_stdev,local_jitter,local_abs_jitter,rap_jitter,ppq5_jitter,ddp_jitter,local_shimmer,local_db_shimer,apq3_shimmer,apq5_shimmer,apq11_shimmer,dda_shimmer,hnr
124,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 frustrated survey/201119_1659_00-04-01.97--00-04-03.58.wav,201119_1659_00-04-01.97--00-04-03.58.wav,p11,frustrated,2.638888889,2.287037037,1.608004535,225.1878082,193.1653745,192.6953115,385.8606859,33.42429445,69.24843369,33.19501679,42.58339353,75.77841032,797.1549455,1831.771673,2659.589286,204.5721257,307.352548,398.3430556,0.018868171,8.45E-05,0.010303729,0.011222272,0.030911188,0.112720289,1.039495949,0.056688319,0.066866792,0.082175884,0.170064956,4.72172822
125,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 frustrated survey/210301_1943_00-00-46.45--00-00-48.95.wav,210301_1943_00-00-46.45--00-00-48.95.wav,p11,frustrated,2.953703704,3.37037037,2.494988662,322.7872911,257.8839803,149.117024,407.0010043,47.77735989,80.03505625,41.12684482,44.30286308,85.4297079,745.8744273,1579.032486,2344.853352,236.8827715,189.2130056,350.3755603,0.016982424,5.28E-05,0.007923245,0.009208986,0.023769734,0.07298592,0.698466109,0.034126416,0.047070545,0.054891122,0.102379249,13.61391075
126,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 request survey/210216_0956_00-00-25.13--00-00-25.44c.wav,210216_0956_00-00-25.13--00-00-25.44c.wav,p16,request,2.666666667,2,0.299750567,241.491527,35.6284049,219.525806,255.1542109,9.849664916,73.07942185,19.19355916,56.78032483,75.97388398,558.8891795,1625.325612,3127.183482,173.4665938,386.7628303,277.8627653,0.018818817,7.78E-05,0.010428665,0.011482179,0.031285996,0.189397653,1.643954719,0.100020371,0.146384618,0.136097641,0.300061114,8.606700026
127,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 request survey/210216_0956_00-00-02.84--00-00-03.43c.wav,210216_0956_00-00-02.84--00-00-03.43c.wav,p16,request,3.046296296,2.351851852,0.584852608,401.310184,251.12768,212.5984668,463.7261468,70.10379886,70.50118821,28.43331869,47.911805,76.34512369,604.3934892,1555.625363,3110.373682,163.2663738,462.9132197,294.2445524,0.027357032,6.82E-05,0.013261278,0.014659631,0.039783833,0.083851395,1.015757203,0.039529961,0.045659681,0.064070791,0.118589884,13.572197
128,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 request survey/210112_1640_00-00-25.63--00-00-26.41.wav,210112_1640_00-00-25.63--00-00-26.41.wav,p16,request,2.796296296,2.333333333,0.78,407.269956,115.5924053,351.7186736,467.3110789,33.25077395,78.4483104,45.33608,40.53799827,85.87407827,519.251371,1620.857849,2577.656011,182.3814269,384.4202001,340.7053004,0.016868562,4.17E-05,0.008480555,0.0104643,0.025441664,0.096961196,0.894824396,0.041468234,0.057298216,0.096630182,0.124404702,18.50406546
129,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 request survey/210112_1640_00-00-36.71--00-00-37.26.wav,210112_1640_00-00-36.71--00-00-37.26.wav,p16,request,2.777777778,2.064814815,0.551995465,376.3445691,59.49958832,342.621167,402.1207554,18.29675527,69.35313443,39.43908003,36.41328383,75.85236386,615.1255411,1644.372317,2535.276883,249.0309252,344.4150723,382.0226899,0.033783287,9.06E-05,0.017843476,0.019162255,0.053530429,0.073083037,1.009694359,0.034439698,0.050427741,0.067724275,0.103319093,14.82879993
130,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 request survey/210112_1640_00-00-15.41--00-00-16.36.wav,210112_1640_00-00-15.41--00-00-16.36.wav,p16,request,3.601851852,3.851851852,0.945986395,461.884199,444.0500207,168.2441717,612.2941923,134.4035627,79.24080507,43.2375436,42.71844084,85.95598444,871.8679416,1741.477745,2840.126007,273.7243271,486.8034924,392.2396161,0.024475946,5.28E-05,0.011571018,0.011995687,0.034713055,0.150523792,1.305881388,0.064437812,0.090227719,0.185140894,0.193313437,11.15897842
131,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 request survey/210216_0956_00-00-07.3--00-00-08.15.wav,210216_0956_00-00-07.3--00-00-08.15.wav,p16,request,2.722222222,2.185185185,0.85600907,356.7873343,456.3978082,81.12760045,537.5254087,92.84638299,75.03474737,26.50225769,54.09223344,80.59449113,622.0982305,1524.656175,2990.24925,202.5984914,524.0036124,479.5290149,0.050750074,0.000143966,0.02615806,0.022696277,0.078474181,0.103428959,1.111459534,0.057933455,0.067302272,0.07158721,0.173800364,11.41232258
132,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 request survey/210216_0956_00-00-10.65--00-00-11.09.wav,210216_0956_00-00-10.65--00-00-11.09.wav,p16,request,3.259259259,2.333333333,0.441995465,521.689982,49.13161158,491.5530936,540.6847052,15.66929241,69.34400885,29.45214876,48.49829503,77.95044379,699.1386601,1761.848279,3108.366304,104.8978499,323.0494339,459.0083492,0.042473203,8.23E-05,0.023071348,0.02594156,0.069214043,0.223696272,1.584038589,0.093218863,0.146255788,0.102802602,0.279656589,6.545124793
133,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 request survey/210216_0956_00-00-18.76--00-00-19.56c.wav,210216_0956_00-00-18.76--00-00-19.56c.wav,p16,request,2.888888889,2.222222222,0.793764172,340.142592,89.63058442,303.0020585,392.6326429,18.19291651,69.9638776,32.56660434,46.10542316,78.67202751,583.6016815,1384.180636,2956.617021,141.2103554,423.1652002,359.1963674,0.014206529,4.19E-05,0.007416897,0.007595121,0.022250691,0.070368574,0.728403909,0.032600521,0.041694427,0.050702786,0.097801562,19.72341248
